Customer_ID,Age,Tenure_Months,Monthly_Amount,Contract_Type,Payment_Method,Technical_Support,Internet_Service,Complaints,Satisfaction,Churn
48,65,23,82.61,Monthly,Bank Transfer,Yes,Fiber,1,8,No
49,53,21,51.28,Annual,Credit Card,No,Fiber,1,6,No
50,59,33,70.42,Two-Year,Electronic Check,Yes,None,0,9,No
51,58,40,88.93,Two-Year,Credit Card,Yes,DSL,2,5,No
52,28,19,87.59,Two-Year,Electronic Check,Yes,None,3,6,No
53,37,1,75.81,Two-Year,Electronic Check,Yes,Fiber,2,10,No
54,42,24,87.96,Monthly,Electronic Check,Yes,DSL,2,6,Yes
55,44,23,80.83,Monthly,Electronic Check,No,None,1,6,No
56,20,13,93.61,Monthly,Credit Card,Yes,DSL,3,5,No
57,46,38,77.21,Annual,Bank Transfer,Yes,Fiber,1,8,No
58,26,1,65.6,Two-Year,Credit Card,No,DSL,2,5,Yes
59,57,24,78.05,Monthly,Electronic Check,No,DSL,0,7,No
60,54,33,35.0,Annual,Bank Transfer,Yes,None,1,9,No
61,66,20,78.89,Monthly,Credit Card,No,Fiber,4,4,Yes
62,57,43,35.0,Monthly,Electronic Check,Yes,Fiber,2,8,No
63,37,22,40.98,Monthly,Credit Card,No,Fiber,4,6,Yes
64,69,44,80.13,Monthly,Bank Transfer,Yes,DSL,0,10,No
65,39,14,80.6,Two-Year,Electronic Check,No,None,1,7,No
66,35,25,51.08,Monthly,Credit Card,No,Fiber,1,10,No
67,65,43,59.18,Two-Year,Bank Transfer,No,DSL,2,7,No
68,37,21,96.67,Annual,Electronic Check,Yes,None,2,7,No
69,22,12,63.29,Monthly,Credit Card,No,Fiber,0,6,Yes
70,42,24,112.37,Monthly,Bank Transfer,Yes,Fiber,0,8,No
71,60,23,71.97,Annual,Credit Card,No,DSL,2,8,No
72,28,12,79.34,Monthly,Bank Transfer,No,DSL,0,9,No
73,42,20,101.1,Two-Year,Credit Card,No,Fiber,1,8,Yes
74,24,15,74.36,Monthly,Electronic Check,Yes,DSL,1,9,No
75,54,37,53.96,Annual,Electronic Check,Yes,DSL,1,6,No
76,43,12,70.02,Annual,Credit Card,Yes,None,3,7,No
77,35,16,71.36,Monthly,Credit Card,Yes,DSL,0,7,No
78,30,28,47.43,Monthly,Bank Transfer,Yes,DSL,0,6,No
79,47,17,67.4,Two-Year,Bank Transfer,Yes,DSL,2,7,No
80,53,20,58.64,Monthly,Bank Transfer,No,Fiber,0,8,No
81,67,37,88.64,Monthly,Credit Card,Yes,DSL,1,9,No
82,41,28,72.62,Monthly,Credit Card,Yes,Fiber,3,7,No
83,26,13,66.91,Monthly,Electronic Check,Yes,DSL,2,8,No
84,62,44,70.09,Annual,Bank Transfer,No,Fiber,1,5,Yes
85,51,34,76.02,Annual,Electronic Check,No,DSL,3,5,No
86,55,36,83.1,Monthly,Bank Transfer,Yes,Fiber,2,5,Yes
87,23,16,54.01,Two-Year,Electronic Check,Yes,Fiber,2,4,Yes
88,34,38,53.25,Monthly,Credit Card,Yes,Fiber,2,8,No
89,58,28,91.88,Monthly,Credit Card,Yes,DSL,4,5,No
90,62,14,64.58,Annual,Electronic Check,Yes,DSL,1,9,No
91,41,35,46.5,Two-Year,Electronic Check,Yes,Fiber,2,8,No
92,60,27,79.99,Monthly,Credit Card,No,DSL,3,4,No
93,62,33,80.34,Monthly,Credit Card,Yes,DSL,2,8,No
94,38,31,44.45,Annual,Bank Transfer,No,Fiber,3,4,No
95,65,19,76.13,Annual,Credit Card,Yes,DSL,1,5,Yes
96,33,5,85.24,Monthly,Credit Card,No,Fiber,0,7,No
97,30,1,78.74,Monthly,Electronic Check,No,Fiber,1,6,Yes
98,54,21,83.38,Annual,Credit Card,No,DSL,1,6,Yes
99,51,30,46.72,Monthly,Bank Transfer,Yes,Fiber,2,9,Yes
100,25,17,77.96,Monthly,Credit Card,Yes,DSL,1,6,No
101,62,35,66.55,Monthly,Credit Card,No,None,1,7,No
102,28,1,63.31,Monthly,Bank Transfer,No,DSL,1,5,No
103,60,10,87.67,Monthly,Credit Card,Yes,DSL,1,9,No
104,18,8,98.63,Two-Year,Bank Transfer,Yes,DSL,1,8,No
105,60,27,104.3,Annual,Credit Card,Yes,None,1,8,No
106,59,35,95.67,Annual,Electronic Check,No,Fiber,2,5,No
107,59,37,70.02,Two-Year,Electronic Check,No,Fiber,1,5,No
108,53,28,78.35,Monthly,Electronic Check,No,DSL,1,8,No
109,42,28,85.8,Monthly,Credit Card,No,Fiber,4,7,Yes
110,55,30,74.18,Two-Year,Credit Card,Yes,Fiber,4,6,Yes
111,32,20,74.35,Monthly,Credit Card,Yes,Fiber,2,6,No
112,59,24,86.83,Annual,Bank Transfer,Yes,DSL,4,6,Yes
113,47,22,70.93,Annual,Credit Card,No,Fiber,0,10,No
114,42,23,58.87,Monthly,Credit Card,Yes,Fiber,0,8,No
115,44,30,64.54,Monthly,Credit Card,Yes,Fiber,1,9,Yes
116,48,21,83.41,Monthly,Credit Card,Yes,Fiber,3,5,Yes
117,19,13,72.05,Monthly,Credit Card,Yes,DSL,1,7,No
118,25,9,78.12,Monthly,Credit Card,Yes,Fiber,1,8,No
119,31,14,84.06,Monthly,Credit Card,Yes,DSL,0,9,No
120,24,19,65.25,Annual,Bank Transfer,Yes,DSL,0,7,No
121,41,3,85.61,Two-Year,Credit Card,No,Fiber,1,5,Yes
122,53,16,78.82,Annual,Credit Card,Yes,DSL,3,8,No
123,52,13,49.77,Monthly,Bank Transfer,Yes,DSL,0,10,No
124,42,1,97.96,Monthly,Electronic Check,Yes,DSL,1,10,Yes
125,63,27,62.99,Monthly,Credit Card,No,Fiber,2,8,No
126,47,31,42.21,Monthly,Bank Transfer,Yes,Fiber,0,8,No
127,22,8,53.19,Two-Year,Electronic Check,No,None,1,6,No
128,58,32,53.62,Monthly,Bank Transfer,No,DSL,1,8,No
129,48,34,72.94,Monthly,Electronic Check,No,None,2,7,Yes
130,51,38,67.07,Two-Year,Electronic Check,Yes,None,0,7,No
131,47,23,65.94,Monthly,Credit Card,No,Fiber,1,5,Yes
132,47,36,83.15,Monthly,Bank Transfer,Yes,DSL,0,9,No
133,22,11,78.12,Monthly,Bank Transfer,Yes,DSL,2,7,No
134,47,16,77.69,Annual,Electronic Check,Yes,DSL,1,8,No
135,60,26,79.38,Annual,Bank Transfer,Yes,Fiber,1,9,No
136,34,3,83.09,Monthly,Credit Card,Yes,Fiber,2,8,Yes
137,49,17,35.0,Two-Year,Bank Transfer,Yes,DSL,0,10,No
138,19,5,65.44,Two-Year,Credit Card,Yes,DSL,2,4,Yes
139,36,25,35.0,Two-Year,Electronic Check,Yes,DSL,3,7,Yes
140,41,36,72.65,Monthly,Bank Transfer,Yes,Fiber,2,8,No
141,70,24,71.92,Monthly,Electronic Check,No,Fiber,1,4,No
142,29,18,90.82,Two-Year,Electronic Check,Yes,None,0,7,No
143,32,6,93.38,Monthly,Bank Transfer,No,Fiber,2,5,Yes
144,39,24,75.65,Annual,Bank Transfer,Yes,Fiber,0,8,No
145,70,35,62.99,Annual,Electronic Check,Yes,DSL,2,9,No
146,63,16,80.73,Monthly,Electronic Check,Yes,Fiber,0,10,No
147,19,17,62.5,Annual,Electronic Check,Yes,DSL,2,6,No
148,30,9,71.97,Two-Year,Credit Card,Yes,Fiber,2,8,No
149,61,27,89.75,Annual,Bank Transfer,Yes,DSL,3,7,No
150,21,1,61.96,Monthly,Credit Card,Yes,None,4,6,Yes
151,63,27,86.5,Two-Year,Electronic Check,Yes,None,2,7,No
152,32,20,84.19,Annual,Bank Transfer,Yes,DSL,0,9,No
153,66,33,54.81,Annual,Bank Transfer,Yes,Fiber,2,9,No
154,33,19,89.53,Two-Year,Credit Card,Yes,DSL,1,9,Yes
155,41,24,84.57,Annual,Credit Card,Yes,DSL,1,6,Yes
156,53,39,73.83,Monthly,Bank Transfer,Yes,DSL,0,9,No
157,24,8,58.28,Monthly,Credit Card,Yes,DSL,1,9,No
158,47,11,56.53,Monthly,Credit Card,Yes,DSL,1,8,No
159,44,32,62.32,Annual,Electronic Check,Yes,DSL,2,8,No
160,59,28,81.77,Annual,Electronic Check,No,DSL,0,7,No
161,70,47,54.8,Annual,Credit Card,Yes,Fiber,0,8,No
162,53,31,79.88,Monthly,Credit Card,Yes,DSL,2,7,No
163,39,18,49.65,Annual,Electronic Check,Yes,DSL,2,4,Yes
164,39,23,68.33,Two-Year,Bank Transfer,No,Fiber,2,6,Yes
165,40,38,73.97,Monthly,Bank Transfer,No,DSL,2,5,No
166,61,50,116.01,Annual,Credit Card,No,DSL,0,6,Yes
167,35,18,47.21,Annual,Credit Card,No,Fiber,1,8,Yes
168,26,14,98.5,Annual,Credit Card,Yes,DSL,3,7,No
169,35,27,74.7,Monthly,Electronic Check,No,DSL,1,6,No
170,19,1,79.4,Annual,Credit Card,Yes,DSL,0,7,No
171,23,14,74.13,Two-Year,Credit Card,No,Fiber,4,5,Yes
172,22,10,80.01,Annual,Electronic Check,Yes,DSL,3,8,No
173,58,33,69.23,Two-Year,Electronic Check,Yes,Fiber,0,7,Yes
174,56,21,98.17,Two-Year,Electronic Check,No,DSL,1,6,Yes
175,54,13,63.78,Monthly,Bank Transfer,Yes,Fiber,3,7,No
176,42,3,92.38,Annual,Bank Transfer,No,DSL,1,4,No
177,56,19,60.4,Monthly,Bank Transfer,Yes,DSL,2,7,No
178,26,8,70.92,Two-Year,Credit Card,No,DSL,0,7,No
179,65,31,52.7,Monthly,Bank Transfer,No,DSL,0,7,Yes
180,44,40,80.19,Monthly,Bank Transfer,Yes,DSL,2,6,No
181,67,45,98.01,Two-Year,Bank Transfer,No,DSL,0,7,No
182,26,4,70.61,Monthly,Electronic Check,Yes,Fiber,1,10,Yes
183,44,25,68.46,Annual,Electronic Check,No,None,4,4,Yes
184,54,24,51.94,Monthly,Credit Card,Yes,DSL,1,8,No
185,44,20,67.87,Two-Year,Credit Card,Yes,None,0,10,No
186,41,22,43.33,Two-Year,Credit Card,No,None,1,6,No
187,26,18,55.57,Monthly,Credit Card,Yes,None,3,9,No
188,38,16,76.08,Annual,Credit Card,Yes,DSL,2,7,No
189,30,24,95.74,Monthly,Credit Card,Yes,DSL,4,8,No
190,33,6,122.57,Annual,Electronic Check,No,Fiber,2,7,Yes
191,54,28,61.44,Annual,Bank Transfer,Yes,DSL,1,8,No
192,51,50,97.84,Two-Year,Electronic Check,No,DSL,0,7,No
193,50,28,76.39,Monthly,Credit Card,No,DSL,1,6,Yes
194,37,31,69.28,Monthly,Credit Card,Yes,DSL,1,8,No
195,68,36,79.79,Annual,Credit Card,Yes,Fiber,1,9,No
196,22,15,73.11,Annual,Credit Card,No,Fiber,1,6,No
197,36,17,73.99,Monthly,Credit Card,Yes,DSL,1,7,No
198,24,10,64.65,Monthly,Electronic Check,Yes,Fiber,0,8,No
199,35,10,46.83,Monthly,Credit Card,No,Fiber,3,6,Yes
200,68,39,44.21,Two-Year,Credit Card,Yes,Fiber,0,10,No
201,37,11,83.76,Monthly,Bank Transfer,Yes,DSL,2,6,No
202,66,40,67.02,Monthly,Bank Transfer,No,DSL,3,4,Yes
203,44,32,61.27,Two-Year,Bank Transfer,Yes,Fiber,1,8,Yes
204,55,32,72.15,Monthly,Credit Card,Yes,Fiber,1,10,No
205,42,19,86.31,Annual,Electronic Check,Yes,DSL,3,8,No
206,32,20,75.25,Monthly,Credit Card,No,Fiber,1,5,Yes
207,58,27,60.19,Two-Year,Bank Transfer,No,DSL,2,5,Yes
208,69,44,94.07,Annual,Bank Transfer,Yes,DSL,1,6,No
209,31,1,100.43,Two-Year,Electronic Check,Yes,Fiber,1,7,No
210,59,28,80.9,Monthly,Credit Card,Yes,DSL,1,10,Yes
211,31,1,89.53,Annual,Bank Transfer,Yes,Fiber,1,6,No
212,55,15,94.36,Annual,Credit Card,Yes,Fiber,1,5,Yes
213,59,43,92.34,Monthly,Credit Card,No,DSL,0,6,No
214,41,29,83.05,Monthly,Credit Card,Yes,DSL,1,8,No
215,57,23,82.77,Monthly,Electronic Check,No,DSL,0,8,No
216,32,2,81.35,Two-Year,Credit Card,Yes,Fiber,1,8,No
217,22,1,52.25,Annual,Electronic Check,Yes,Fiber,1,9,No
218,23,6,84.61,Annual,Credit Card,Yes,DSL,0,6,No
219,41,42,47.6,Annual,Electronic Check,Yes,DSL,0,10,No
220,65,38,57.7,Annual,Electronic Check,No,None,0,7,No
221,24,6,95.46,Monthly,Credit Card,No,Fiber,0,8,Yes
222,42,25,87.12,Monthly,Credit Card,No,DSL,2,4,Yes
223,55,14,98.77,Annual,Credit Card,Yes,DSL,1,8,No
224,28,11,67.11,Monthly,Electronic Check,No,DSL,2,6,Yes
225,56,30,51.26,Two-Year,Credit Card,Yes,Fiber,1,9,No
226,34,16,67.67,Annual,Bank Transfer,No,DSL,0,5,No
227,60,38,73.84,Monthly,Bank Transfer,Yes,Fiber,3,6,No
228,48,28,73.42,Annual,Electronic Check,Yes,DSL,1,6,No
229,46,29,92.41,Monthly,Bank Transfer,Yes,DSL,2,8,No
230,27,7,65.5,Two-Year,Bank Transfer,Yes,None,4,7,No
231,42,29,78.34,Two-Year,Electronic Check,Yes,DSL,1,9,No
232,63,47,54.2,Two-Year,Credit Card,No,DSL,1,6,No
233,19,1,80.11,Monthly,Electronic Check,No,DSL,2,7,No
234,58,22,72.06,Monthly,Credit Card,No,DSL,2,8,No
235,44,34,58.5,Monthly,Bank Transfer,Yes,None,0,6,No
236,56,27,67.76,Monthly,Electronic Check,Yes,Fiber,0,9,No
237,53,40,68.68,Monthly,Bank Transfer,Yes,None,2,8,No
238,40,16,67.14,Monthly,Bank Transfer,Yes,DSL,2,7,Yes
239,34,30,103.88,Two-Year,Credit Card,Yes,DSL,0,7,No
240,51,27,70.23,Monthly,Credit Card,Yes,DSL,2,8,Yes
241,25,14,67.61,Monthly,Credit Card,Yes,DSL,0,7,Yes
242,48,39,35.0,Two-Year,Bank Transfer,Yes,Fiber,3,6,No
243,23,7,55.9,Annual,Bank Transfer,Yes,DSL,1,7,No
244,52,18,67.26,Annual,Credit Card,No,Fiber,1,7,No
245,51,22,59.65,Annual,Credit Card,Yes,Fiber,1,7,No
246,22,14,96.87,Two-Year,Credit Card,No,Fiber,1,6,No
247,58,16,69.03,Annual,Credit Card,Yes,Fiber,3,6,No
248,40,26,95.19,Annual,Credit Card,No,Fiber,1,8,No
249,59,26,73.11,Annual,Electronic Check,No,DSL,1,9,No
250,20,19,72.67,Monthly,Bank Transfer,No,Fiber,2,4,Yes
251,27,1,70.4,Monthly,Credit Card,No,DSL,2,6,Yes
252,44,15,72.07,Monthly,Bank Transfer,No,Fiber,0,6,No
253,27,1,102.94,Monthly,Electronic Check,No,DSL,1,8,No
254,35,10,35.0,Annual,Credit Card,Yes,DSL,0,7,No
255,53,29,35.97,Monthly,Credit Card,Yes,Fiber,1,7,No
256,25,10,62.22,Monthly,Credit Card,No,DSL,3,4,Yes
257,53,25,72.26,Monthly,Credit Card,Yes,None,0,8,No
258,23,9,84.42,Two-Year,Electronic Check,Yes,DSL,1,8,No
259,27,15,80.52,Monthly,Electronic Check,Yes,Fiber,1,8,No
260,49,16,65.08,Annual,Credit Card,Yes,DSL,0,8,No
261,60,37,90.34,Two-Year,Electronic Check,Yes,DSL,0,6,No
262,27,19,90.54,Monthly,Credit Card,No,Fiber,3,6,Yes
263,33,20,75.31,Annual,Bank Transfer,No,DSL,3,5,Yes
264,67,40,89.33,Monthly,Electronic Check,No,Fiber,2,7,Yes
265,70,39,76.91,Monthly,Credit Card,Yes,DSL,2,6,No
266,48,43,61.89,Annual,Credit Card,Yes,Fiber,0,6,No
267,41,20,84.56,Two-Year,Bank Transfer,Yes,Fiber,2,7,No
268,36,15,73.99,Monthly,Electronic Check,Yes,None,1,9,No
269,50,19,72.02,Annual,Credit Card,No,DSL,0,7,No
270,49,16,98.51,Monthly,Credit Card,Yes,DSL,2,7,Yes
271,33,5,35.0,Annual,Credit Card,No,None,2,5,No
272,19,1,46.48,Annual,Bank Transfer,Yes,Fiber,1,10,No
273,26,12,50.63,Annual,Bank Transfer,No,Fiber,0,6,No
274,68,39,65.46,Annual,Electronic Check,Yes,Fiber,1,7,No
275,40,21,67.42,Monthly,Electronic Check,Yes,DSL,1,8,Yes
276,43,15,44.87,Annual,Electronic Check,No,Fiber,3,3,Yes
277,42,29,54.27,Annual,Electronic Check,Yes,None,2,9,Yes
278,59,37,56.5,Annual,Credit Card,No,Fiber,1,7,No
279,21,8,116.23,Monthly,Bank Transfer,Yes,Fiber,0,9,No
280,22,4,104.43,Monthly,Credit Card,Yes,Fiber,2,8,Yes
281,32,21,64.59,Monthly,Credit Card,Yes,Fiber,2,7,No
282,43,23,65.46,Monthly,Electronic Check,No,Fiber,1,5,No
283,53,14,51.31,Monthly,Bank Transfer,Yes,DSL,2,7,No
284,44,22,37.65,Monthly,Electronic Check,No,Fiber,1,5,Yes
285,41,23,69.9,Annual,Credit Card,No,DSL,1,7,No
286,67,27,54.04,Monthly,Bank Transfer,No,DSL,5,5,Yes
287,26,14,70.47,Two-Year,Bank Transfer,Yes,DSL,4,8,Yes
288,48,11,43.2,Annual,Credit Card,No,DSL,2,6,No
289,46,35,58.28,Annual,Credit Card,No,Fiber,0,8,No
290,43,33,74.68,Monthly,Bank Transfer,Yes,Fiber,2,7,No
291,60,29,78.59,Monthly,Credit Card,Yes,Fiber,1,7,Yes
292,32,19,79.51,Annual,Electronic Check,Yes,None,5,6,No
293,68,14,48.23,Two-Year,Credit Card,Yes,DSL,1,7,Yes
294,35,7,87.38,Monthly,Credit Card,No,Fiber,0,7,No
295,46,21,57.6,Annual,Electronic Check,Yes,DSL,3,5,No
296,45,13,83.39,Annual,Credit Card,Yes,DSL,1,6,No
297,63,39,71.81,Annual,Electronic Check,Yes,DSL,1,8,No
298,41,39,47.23,Monthly,Electronic Check,Yes,DSL,1,9,No
299,33,6,66.31,Annual,Credit Card,Yes,DSL,1,6,No
300,19,1,78.58,Monthly,Bank Transfer,No,DSL,3,6,No
301,37,21,83.03,Two-Year,Bank Transfer,No,DSL,2,5,Yes
302,61,46,69.46,Monthly,Electronic Check,Yes,Fiber,0,8,No
303,18,1,99.57,Monthly,Electronic Check,No,Fiber,1,8,Yes
304,65,36,90.14,Two-Year,Bank Transfer,Yes,None,1,9,No
305,46,40,67.38,Monthly,Bank Transfer,Yes,DSL,1,9,No
306,25,1,85.5,Monthly,Credit Card,Yes,Fiber,0,10,No
307,34,5,106.81,Monthly,Bank Transfer,No,DSL,1,6,No
308,47,20,107.29,Monthly,Electronic Check,No,Fiber,0,6,Yes
309,34,12,49.9,Monthly,Bank Transfer,No,DSL,0,6,No
310,23,18,55.32,Monthly,Bank Transfer,Yes,Fiber,0,8,No
311,53,29,98.73,Annual,Bank Transfer,Yes,DSL,0,5,No
312,53,11,52.95,Annual,Electronic Check,No,DSL,1,6,No
313,24,16,48.19,Monthly,Electronic Check,Yes,Fiber,3,6,No
314,32,11,63.25,Annual,Credit Card,No,Fiber,1,7,No
315,30,26,79.56,Monthly,Credit Card,No,DSL,2,6,No
316,52,21,70.16,Two-Year,Bank Transfer,Yes,Fiber,0,7,No
317,56,23,60.29,Monthly,Bank Transfer,No,Fiber,3,6,Yes
318,56,34,59.86,Annual,Bank Transfer,No,DSL,1,7,Yes
319,67,42,59.18,Monthly,Credit Card,Yes,Fiber,3,5,No
320,58,34,56.17,Annual,Credit Card,No,Fiber,1,6,No
321,34,2,113.07,Monthly,Bank Transfer,No,Fiber,2,3,No
322,23,16,77.36,Annual,Bank Transfer,Yes,DSL,1,6,No
323,50,16,87.96,Monthly,Bank Transfer,No,Fiber,1,5,No
324,66,37,63.2,Two-Year,Electronic Check,Yes,Fiber,1,8,No
325,69,23,68.65,Annual,Bank Transfer,No,Fiber,0,6,Yes
326,30,19,59.16,Annual,Electronic Check,No,Fiber,0,6,No
327,30,7,35.0,Two-Year,Bank Transfer,No,Fiber,0,6,No
328,19,1,47.2,Two-Year,Bank Transfer,Yes,Fiber,0,8,No
329,25,18,39.41,Monthly,Bank Transfer,No,Fiber,2,6,No
330,47,26,35.0,Monthly,Credit Card,Yes,Fiber,3,7,No
331,46,18,50.48,Monthly,Credit Card,Yes,DSL,1,8,No
332,37,32,95.85,Monthly,Bank Transfer,Yes,Fiber,3,4,Yes
333,34,13,71.2,Annual,Electronic Check,Yes,Fiber,3,5,No
334,61,32,95.23,Two-Year,Bank Transfer,Yes,None,1,7,No
335,42,24,79.4,Two-Year,Credit Card,Yes,DSL,3,6,No
336,60,26,86.09,Annual,Bank Transfer,No,DSL,1,7,No
337,69,40,55.78,Annual,Credit Card,Yes,Fiber,0,10,No
338,34,12,81.43,Two-Year,Electronic Check,Yes,Fiber,1,9,No
339,28,10,85.12,Two-Year,Electronic Check,Yes,Fiber,1,6,No
340,68,48,61.62,Monthly,Bank Transfer,Yes,Fiber,2,8,Yes
341,51,17,82.07,Annual,Bank Transfer,No,Fiber,3,6,No
342,33,1,82.19,Two-Year,Credit Card,Yes,DSL,1,7,No
343,50,40,62.11,Monthly,Bank Transfer,Yes,Fiber,1,9,No
344,45,46,51.79,Monthly,Electronic Check,No,DSL,1,6,Yes
345,65,30,50.69,Two-Year,Electronic Check,No,Fiber,1,5,Yes
346,31,1,73.56,Two-Year,Bank Transfer,No,Fiber,0,8,No
347,70,34,77.89,Two-Year,Credit Card,No,DSL,2,6,No
348,67,32,57.73,Annual,Credit Card,No,DSL,2,6,No
349,27,11,72.48,Monthly,Credit Card,Yes,Fiber,2,7,Yes
350,26,2,82.27,Monthly,Credit Card,No,DSL,3,4,No
351,46,29,83.13,Annual,Credit Card,No,Fiber,0,8,Yes
352,20,14,99.93,Annual,Electronic Check,Yes,Fiber,1,7,Yes
353,33,3,94.99,Annual,Bank Transfer,Yes,DSL,0,8,No
354,41,27,53.98,Annual,Credit Card,Yes,Fiber,1,8,No
355,69,55,102.3,Monthly,Credit Card,No,Fiber,0,6,No
356,70,38,62.44,Annual,Credit Card,No,DSL,0,6,Yes
357,26,9,90.81,Monthly,Electronic Check,No,Fiber,2,3,Yes
358,65,33,73.22,Monthly,Credit Card,Yes,Fiber,0,9,No
359,22,16,64.58,Monthly,Electronic Check,Yes,Fiber,0,7,Yes
360,57,14,39.46,Monthly,Electronic Check,Yes,None,1,8,No
361,62,34,68.91,Two-Year,Credit Card,Yes,DSL,2,7,No
362,65,30,43.93,Monthly,Bank Transfer,No,Fiber,2,7,Yes
363,29,31,89.41,Monthly,Electronic Check,No,Fiber,2,4,No
364,65,32,99.3,Annual,Credit Card,No,DSL,2,6,No
365,24,26,57.66,Annual,Credit Card,No,Fiber,1,9,No
366,45,13,77.44,Monthly,Electronic Check,No,DSL,1,9,Yes
367,42,26,58.94,Monthly,Electronic Check,Yes,DSL,2,8,No
368,34,20,60.69,Monthly,Bank Transfer,Yes,Fiber,0,9,No
369,19,1,85.94,Annual,Bank Transfer,Yes,Fiber,1,6,No
370,58,32,71.31,Monthly,Credit Card,Yes,Fiber,0,9,No
371,35,28,103.31,Monthly,Electronic Check,Yes,Fiber,1,7,Yes
372,53,24,63.32,Monthly,Bank Transfer,Yes,Fiber,1,8,No
373,39,4,89.99,Annual,Credit Card,No,DSL,3,4,No
374,37,18,73.75,Monthly,Bank Transfer,Yes,Fiber,3,6,No
375,64,25,86.32,Two-Year,Electronic Check,No,DSL,0,7,No
376,23,8,63.95,Monthly,Electronic Check,No,DSL,2,6,No
377,57,29,71.11,Annual,Credit Card,No,Fiber,2,6,Yes
378,57,14,69.92,Monthly,Credit Card,No,Fiber,0,6,No
379,38,4,56.95,Monthly,Electronic Check,Yes,Fiber,0,6,No
380,31,19,83.92,Monthly,Electronic Check,No,DSL,3,7,Yes
381,18,3,83.7,Annual,Bank Transfer,Yes,Fiber,0,10,No
382,67,12,82.68,Two-Year,Bank Transfer,No,DSL,0,8,No
383,68,43,99.67,Monthly,Bank Transfer,Yes,DSL,3,5,Yes
384,30,17,98.09,Monthly,Credit Card,Yes,DSL,2,6,No
385,19,2,65.25,Two-Year,Credit Card,No,None,2,6,No
386,24,1,78.71,Annual,Credit Card,No,DSL,2,8,Yes
387,21,17,60.78,Monthly,Credit Card,Yes,DSL,0,7,No
